Run No., Proc No., TBV(Ogawa),Cpre, H(%), Sex , Height(cm),Weight(kg),Yield, Vp, Vc, Vintarg, Vac, Time(min), Qin-pp, Qin-mr, Qch-mr,Time(mr),Time(PCA),Time(ExtPCA),Time(PIR_PLASMA),Time(PIR_NOPLASMA),Rpm(mr),Rpm(pp),Status
1,1,2999.06,150.00,0.40,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
1,2,2999.06,150.00,0.40,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
1,3,2999.06,150.00,0.40,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,1,2999.06,150.00,0.41,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,2,2999.06,150.00,0.41,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,3,2999.06,150.00,0.41,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,1,2999.06,150.00,0.42,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,2,2999.06,150.00,0.42,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,3,2999.06,150.00,0.42,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,1,2999.06,150.00,0.43,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,2,2999.06,150.00,0.43,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,3,2999.06,150.00,0.43,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,1,2999.06,150.00,0.44,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,2,2999.06,150.00,0.44,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,3,2999.06,150.00,0.44,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,1,2999.06,150.00,0.45,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,2,2999.06,150.00,0.45,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,3,2999.06,150.00,0.45,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,1,2999.06,150.00,0.46,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,2,2999.06,150.00,0.46,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,3,2999.06,150.00,0.46,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,1,2999.06,150.00,0.47,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,2,2999.06,150.00,0.47,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,3,2999.06,150.00,0.47,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,1,2999.06,150.00,0.48,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,2,2999.06,150.00,0.48,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,3,2999.06,150.00,0.48,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
10,1,2999.06,150.00,0.49,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
10,2,2999.06,150.00,0.49,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
10,3,2999.06,150.00,0.49,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
11,1,2999.06,150.00,0.50,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
11,2,2999.06,150.00,0.50,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
11,3,2999.06,150.00,0.50,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
12,1,2999.06,200.00,0.40,1,122.00,45.00, 2.20,250.00,219.26,2123.71,203.13,52.42,60.00,60.00, 4.29, 16.84, 2.30, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
12,2,2999.06,200.00,0.40,1,122.00,45.00, 3.20,210.00,261.72,3085.92,299.35,83.09,60.00,54.13, 3.96, 54.08, 0.00, 0.00, 0.00, 0.00, 2638.02, 2777.46,0
12,3,2999.06,200.00,0.40,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
13,1,2999.06,200.00,0.41,1,122.00,45.00, 2.20,250.00,219.19,2123.72,203.13,52.40,60.00,60.00, 4.29, 15.43, 2.57, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
13,2,2999.06,200.00,0.41,1,122.00,45.00, 3.20,210.00,261.38,3086.04,298.70,82.59,60.00,54.34, 3.97, 52.68, 0.00, 0.00, 0.00, 0.00, 2643.29, 2777.46,0
13,3,2999.06,200.00,0.41,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
14,1,2999.06,200.00,0.42,1,122.00,45.00, 2.20,250.00,219.23,2123.78,203.13,52.38,60.00,60.00, 4.29, 13.85, 2.91, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
14,2,2999.06,200.00,0.42,1,122.00,45.00, 3.20,210.00,260.91,3086.09,298.02,82.08,60.00,54.56, 3.98, 51.19, 0.00, 0.00, 0.00, 0.00, 2648.57, 2777.46,0
14,3,2999.06,200.00,0.42,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
15,1,2999.06,200.00,0.43,1,122.00,45.00, 2.20,250.00,220.00,2123.83,203.51,52.45,60.00,60.00, 4.29, 12.11, 3.28, 0.10, 0.00, 0.00, 2777.46, 2777.46,0
15,2,2999.06,200.00,0.43,1,122.00,45.00, 3.20,210.00,260.43,3086.11,297.42,81.58,60.00,54.80, 4.00, 49.60, 0.00, 0.00, 0.00, 0.00, 2654.28, 2777.46,0
15,3,2999.06,200.00,0.43,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
16,1,2999.06,200.00,0.44,1,122.00,45.00, 2.20,250.00,220.00,2123.76,203.62,52.45,60.00,60.00, 4.29, 10.11, 3.76, 0.13, 0.00, 0.00, 2777.46, 2777.46,0
16,2,2999.06,200.00,0.44,1,122.00,45.00, 3.20,210.00,259.93,3086.11,296.51,80.99,60.00,55.04, 4.01, 47.81, 0.00, 0.00, 0.00, 0.00, 2660.21, 2777.46,0
16,3,2999.06,200.00,0.44,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
17,1,2999.06,200.00,0.45,1,122.00,45.00, 2.20,250.00,220.00,2123.83,203.79,52.47,60.00,60.00, 4.29, 7.82, 4.37, 0.17, 0.00, 0.00, 2777.46, 2777.46,0
17,2,2999.06,200.00,0.45,1,122.00,45.00, 3.20,210.00,259.75,3086.04,295.27,80.28,60.00,55.32, 4.03, 45.74, 0.00, 0.00, 0.00, 0.00, 2667.05, 2777.46,0
17,3,2999.06,200.00,0.45,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
18,1,2999.06,200.00,0.46,1,122.00,45.00, 2.20,250.00,220.00,2123.82,204.06,52.52,60.00,60.00, 4.29, 5.13, 5.17, 0.24, 0.00, 0.00, 2777.46, 2777.46,0
18,2,2999.06,200.00,0.46,1,122.00,45.00, 3.20,210.00,259.46,3081.49,288.64,77.44,60.00,56.81, 4.10, 41.37, 0.00, 0.00, 0.00, 0.00, 2702.51, 2777.46,0
18,3,2999.06,200.00,0.46,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
19,1,2999.06,200.00,0.47,1,122.00,45.00, 2.20,250.00,220.00,2123.82,204.53,52.62,60.00,60.00, 4.29, 1.93, 6.23, 0.37, 0.00, 0.00, 2777.46, 2777.46,0
19,2,2999.06,200.00,0.47,1,122.00,45.00, 3.20,210.00,260.18,3081.56,288.38,77.04,60.00,57.22, 4.13, 39.14, 0.00, 0.00, 0.00, 0.00, 2712.36, 2777.46,0
19,3,2999.06,200.00,0.47,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
20,1,2999.06,200.00,0.48,1,122.00,45.00, 2.20,250.00,220.00,2082.82,208.21,53.59,60.00,60.00, 0.00, 0.00, 4.81, 2.28, 0.00, 0.00, 2777.46, 2777.46,0
20,2,2999.06,200.00,0.48,1,122.00,45.00, 3.20,210.00,262.00,3086.27,296.81,79.80,60.00,56.24, 4.12, 39.64, 0.00, 0.00, 0.00, 0.00, 2688.94, 2777.46,0
20,3,2999.06,200.00,0.48,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
21,1,2999.06,200.00,0.49,1,122.00,45.00, 2.20,250.00,220.00,2129.04,215.52,55.54,60.00,60.00, 0.00, 0.00, 3.10, 3.17, 0.00, 0.00, 2777.46, 2777.46,0
21,2,2999.06,200.00,0.49,1,122.00,45.00, 3.20,210.00,261.05,3085.71,294.07,78.67,60.00,56.67, 4.14, 36.30, 0.00, 0.00, 0.00, 0.00, 2699.25, 2777.46,0
21,3,2999.06,200.00,0.49,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
22,1,2999.06,200.00,0.50,1,122.00,45.00, 2.20,250.00,220.00,2123.62,224.09,57.84,60.00,60.00, 0.00, 0.00, 0.00, 5.28, 0.00, 0.00, 2777.46, 2777.46,0
22,2,2999.06,200.00,0.50,1,122.00,45.00, 3.20,210.00,263.56,3082.19,286.67,75.56,60.00,58.71, 4.26, 30.20, 0.00, 0.00, 0.00, 0.00, 2747.54, 2777.46,0
22,3,2999.06,200.00,0.50,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
23,1,2999.06,250.00,0.40,1,122.00,45.00, 2.20,250.00,220.00,1762.68,173.14,43.98,60.00,60.00, 4.29, 5.30, 5.55, 0.27, 0.00, 0.00, 2777.46, 2777.46,0
23,2,2999.06,250.00,0.40,1,122.00,45.00, 3.20,210.00,262.18,2419.61,228.57,59.07,60.00,60.00, 4.29, 28.44, 1.70, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
23,3,2999.06,250.00,0.40,1,122.00,45.00, 4.00,0.00,263.87,3058.59,282.74,79.65,0.00,54.70, 3.87, 68.17, 0.00, 0.00, 0.00, 0.00, 2651.86, 3000.00,0
24,1,2999.06,250.00,0.41,1,122.00,45.00, 2.20,250.00,220.00,1762.68,173.50,44.08,60.00,60.00, 4.29, 3.42, 6.32, 0.37, 0.00, 0.00, 2777.46, 2777.46,0
24,2,2999.06,250.00,0.41,1,122.00,45.00, 3.20,210.00,260.45,2419.65,228.56,59.06,60.00,60.00, 4.29, 27.38, 1.81, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
24,3,2999.06,250.00,0.41,1,122.00,45.00, 4.00,0.00,264.01,3058.30,282.72,79.37,0.00,54.91, 3.89, 67.90, 0.00, 0.00, 0.00, 0.00, 2657.05, 3000.00,0
25,1,2999.06,250.00,0.42,1,122.00,45.00, 2.20,250.00,220.00,1749.45,173.59,44.10,60.00,60.00, 4.29, 0.90, 7.32, 0.70, 0.00, 0.00, 2777.46, 2777.46,0
25,2,2999.06,250.00,0.42,1,122.00,45.00, 3.20,210.00,259.14,2419.62,228.56,59.04,60.00,60.00, 4.29, 26.19, 1.96, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
25,3,2999.06,250.00,0.42,1,122.00,45.00, 4.00,0.00,264.09,3058.16,282.70,79.11,0.00,55.12, 3.90, 67.64, 0.00, 0.00, 0.00, 0.00, 2662.15, 3000.00,0
26,1,2999.06,250.00,0.43,1,122.00,45.00, 2.20,250.00,220.00,1762.72,176.77,44.94,60.00,60.00, 0.00, 0.00, 7.18, 1.24, 0.00, 0.00, 2777.46, 2777.46,0
26,2,2999.06,250.00,0.43,1,122.00,45.00, 3.20,210.00,259.28,2419.62,228.56,59.01,60.00,60.00, 4.29, 24.80, 2.20, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
26,3,2999.06,250.00,0.43,1,122.00,45.00, 4.00,0.00,264.26,3058.51,282.73,78.86,0.00,55.40, 3.92, 67.40, 0.00, 0.00, 0.00, 0.00, 2668.83, 3000.00,0
27,1,2999.06,250.00,0.44,1,122.00,45.00, 2.20,250.00,220.00,1762.63,181.58,46.22,60.00,60.00, 0.00, 0.00, 5.69, 2.52, 0.00, 0.00, 2777.46, 2777.46,0
27,2,2999.06,250.00,0.44,1,122.00,45.00, 3.20,210.00,260.00,2419.62,229.18,59.16,60.00,60.00, 4.29, 23.33, 2.41, 0.16, 0.00, 0.00, 2777.46, 2777.46,0
27,3,2999.06,250.00,0.44,1,122.00,45.00, 4.00,0.00,264.46,3058.90,282.77,78.61,0.00,55.69, 3.94, 67.15, 0.00, 0.00, 0.00, 0.00, 2675.79, 3000.00,0
28,1,2999.06,250.00,0.45,1,122.00,45.00, 2.20,250.00,220.00,1762.57,186.75,47.59,60.00,60.00, 0.00, 0.00, 4.04, 3.89, 0.00, 0.00, 2777.46, 2777.46,0
28,2,2999.06,250.00,0.45,1,122.00,45.00, 3.20,210.00,259.27,2419.61,228.56,58.95,60.00,60.00, 4.29, 21.49, 2.81, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
28,3,2999.06,250.00,0.45,1,122.00,45.00, 4.00,0.00,264.50,3059.83,282.84,78.32,0.00,56.05, 3.96, 66.84, 0.00, 0.00, 0.00, 0.00, 2684.42, 3000.00,0
29,1,2999.06,250.00,0.46,1,122.00,45.00, 2.20,250.00,220.00,1762.49,192.35,49.08,60.00,60.00, 0.00, 0.00, 2.17, 5.38, 0.00, 0.00, 2777.46, 2777.46,0
29,2,2999.06,250.00,0.46,1,122.00,45.00, 3.20,210.00,259.18,2419.57,228.55,58.92,60.00,60.00, 4.29, 19.47, 3.23, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
29,3,2999.06,250.00,0.46,1,122.00,45.00, 4.00,0.00,264.70,3060.40,282.89,78.04,0.00,56.39, 3.98, 66.56, 0.00, 0.00, 0.00, 0.00, 2692.53, 3000.00,0
30,1,2999.06,250.00,0.47,1,122.00,45.00, 2.20,250.00,220.00,1762.85,202.68,51.85,60.00,60.00, 0.00, 0.00, 2.32, 5.58, 0.00, 0.00, 2777.46, 2777.46,0
30,2,2999.06,250.00,0.47,1,122.00,45.00, 3.20,210.00,259.06,2419.57,228.55,58.89,60.00,60.00, 4.29, 17.13, 3.77, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
30,3,2999.06,250.00,0.47,1,122.00,45.00, 4.00,0.00,264.83,3061.13,282.95,77.76,0.00,56.73, 4.00, 66.27, 0.00, 0.00, 0.00, 0.00, 2700.77, 3000.00,0
31,1,2999.06,250.00,0.48,1,122.00,45.00, 2.20,250.00,220.00,1762.35,215.10,55.21,60.00,60.00, 0.00, 0.00, 2.65, 5.71, 0.00, 0.00, 2777.46, 2777.46,0
31,2,2999.06,250.00,0.48,1,122.00,45.00, 3.20,210.00,260.00,2419.60,229.18,59.03,60.00,60.00, 4.29, 14.44, 4.40, 0.17, 0.00, 0.00, 2777.46, 2777.46,0
31,3,2999.06,250.00,0.48,1,122.00,45.00, 4.00,0.00,264.83,3062.13,283.04,77.49,0.00,57.08, 4.01, 66.00, 0.00, 0.00, 0.00, 0.00, 2708.95, 3000.00,0
32,1,2999.06,250.00,0.49,1,122.00,45.00, 2.20,250.00,220.00,1763.26,231.21,59.59,60.00,60.00, 0.00, 0.00, 3.71, 5.42, 0.00, 0.00, 2777.46, 2777.46,0
32,2,2999.06,250.00,0.49,1,122.00,45.00, 3.20,210.00,260.00,2419.53,229.47,59.07,60.00,60.00, 4.29, 11.18, 5.30, 0.24, 0.00, 0.00, 2777.46, 2777.46,0
32,3,2999.06,250.00,0.49,1,122.00,45.00, 4.00,0.00,264.68,3063.48,283.15,77.24,0.00,57.42, 4.03, 65.73, 0.00, 0.00, 0.00, 0.00, 2717.00, 3000.00,0
33,1,2999.06,250.00,0.50,1,122.00,45.00, 2.20,250.00,220.00,1762.41,248.68,64.36,60.00,60.00, 0.00, 0.00, 4.04, 5.65, 0.00, 0.00, 2777.46, 2777.46,0
33,2,2999.06,250.00,0.50,1,122.00,45.00, 3.20,210.00,260.00,2419.53,229.99,59.17,60.00,60.00, 4.29, 7.20, 6.55, 0.38, 0.00, 0.00, 2777.46, 2777.46,0
33,3,2999.06,250.00,0.50,1,122.00,45.00, 4.00,0.00,264.39,3065.35,283.31,76.96,0.00,57.82, 4.04, 65.42, 0.00, 0.00, 0.00, 0.00, 2726.59, 3000.00,0
34,1,2999.06,300.00,0.40,1,122.00,45.00, 2.20,250.00,220.00,1518.23,163.10,41.17,60.00,60.00, 0.00, 0.00, 5.33, 3.19, 0.00, 0.00, 2777.46, 2777.46,0
34,2,2999.06,300.00,0.40,1,122.00,45.00, 3.20,210.00,259.15,2082.52,199.59,50.93,60.00,60.00, 4.29, 18.83, 3.38, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
34,3,2999.06,300.00,0.40,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
35,1,2999.06,300.00,0.41,1,122.00,45.00, 2.20,250.00,220.00,1518.23,166.99,42.20,60.00,60.00, 0.00, 0.00, 4.22, 4.22, 0.00, 0.00, 2777.46, 2777.46,0
35,2,2999.06,300.00,0.41,1,122.00,45.00, 3.20,210.00,259.05,2082.54,199.59,50.92,60.00,60.00, 4.29, 17.51, 3.76, 0.00, 0.00, 0.00, 2777.46, 2777.46,0
35,3,2999.06,300.00,0.41,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
36,1,2999.06,300.00,0.42,1,122.00,45.00, 2.20,250.00,220.00,1518.67,171.15,43.30,60.00,60.00, 0.00, 0.00, 3.02, 5.32, 0.00, 0.00, 2777.46, 2777.46,0
36,2,2999.06,300.00,0.42,1,122.00,45.00, 3.20,210.00,260.00,2082.53,199.95,51.00,60.00,60.00, 4.29, 16.03, 4.20, 0.10, 0.00, 0.00, 2777.46, 2777.46,0
36,3,2999.06,300.00,0.42,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
37,1,2999.06,300.00,0.43,1,122.00,45.00, 2.20,250.00,220.00,1518.07,177.45,44.97,60.00,60.00, 0.00, 0.00, 2.86, 5.71, 0.00, 0.00, 2777.46, 2777.46,0
37,2,2999.06,300.00,0.43,1,122.00,45.00, 3.20,210.00,260.00,2082.45,200.10,51.02,60.00,60.00, 4.29, 14.36, 4.73, 0.14, 0.00, 0.00, 2777.46, 2777.46,0
37,3,2999.06,300.00,0.43,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
38,1,2999.06,300.00,0.44,1,122.00,45.00, 2.20,250.00,220.00,1519.15,186.33,47.33,60.00,60.00, 0.00, 0.00, 3.90, 5.31, 0.00, 0.00, 2777.46, 2777.46,0
38,2,2999.06,300.00,0.44,1,122.00,45.00, 3.20,210.00,260.00,2082.55,200.32,51.06,60.00,60.00, 4.29, 12.45, 5.39, 0.19, 0.00, 0.00, 2777.46, 2777.46,0
38,3,2999.06,300.00,0.44,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
39,1,2999.06,300.00,0.45,1,122.00,45.00, 2.20,250.00,220.00,1518.41,194.79,49.59,60.00,60.00, 0.00, 0.00, 4.02, 5.56, 0.00, 0.00, 2777.46, 2777.46,0
39,2,2999.06,300.00,0.45,1,122.00,45.00, 3.20,210.00,260.00,2082.48,200.66,51.14,60.00,60.00, 4.29, 10.22, 6.21, 0.29, 0.00, 0.00, 2777.46, 2777.46,0
39,3,2999.06,300.00,0.45,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
40,1,2999.06,300.00,0.46,1,122.00,45.00, 2.20,250.00,220.00,1517.92,204.83,52.29,60.00,60.00, 0.00, 0.00, 4.36, 5.70, 0.00, 0.00, 2777.46, 2777.46,0
40,2,2999.06,300.00,0.46,1,122.00,45.00, 3.20,210.00,260.00,2082.54,201.32,51.31,60.00,60.00, 4.29, 7.66, 7.21, 0.46, 0.00, 0.00, 2777.46, 2777.46,0
40,3,2999.06,300.00,0.46,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
41,1,2999.06,300.00,0.47,1,122.00,45.00, 2.20,250.00,220.00,1517.86,216.85,55.54,60.00,60.00, 0.00, 0.00, 4.99, 5.71, 0.00, 0.00, 2777.46, 2777.46,0
41,2,2999.06,300.00,0.47,1,122.00,45.00, 3.20,210.00,260.00,2082.45,202.19,51.54,60.00,60.00, 4.29, 4.48, 8.64, 0.69, 0.00, 0.00, 2777.46, 2777.46,0
41,3,2999.06,300.00,0.47,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
42,1,2999.06,300.00,0.48,1,122.00,45.00, 2.20,250.00,220.00,1518.21,231.43,59.51,60.00,60.00, 0.00, 0.00, 5.97, 5.54, 0.00, 0.00, 2777.46, 2777.46,0
42,2,2999.06,300.00,0.48,1,122.00,45.00, 3.20,210.00,260.00,2082.48,207.99,53.09,60.00,60.00, 4.29, 3.48, 7.64, 2.23, 0.00, 0.00, 2777.46, 2777.46,0
42,3,2999.06,300.00,0.48,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
43,1,2999.06,300.00,0.49,1,122.00,45.00, 2.20,250.00,220.00,1518.03,247.86,64.00,60.00,60.00, 0.00, 0.00, 6.66, 5.62, 0.00, 0.00, 2777.46, 2777.46,0
43,2,2999.06,300.00,0.49,1,122.00,45.00, 3.20,210.00,260.00,2067.30,210.48,53.74,60.00,60.00, 0.00, 0.00, 8.48, 3.24, 0.00, 0.00, 2777.46, 2777.46,0
43,3,2999.06,300.00,0.49,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
44,1,2999.06,300.00,0.50,1,122.00,45.00, 2.20,250.00,219.92,1499.47,269.26,69.87,60.00,60.00, 0.00, 0.00, 7.76, 5.71, 0.00, 0.00, 2777.46, 2777.46,0
44,2,2999.06,300.00,0.50,1,122.00,45.00, 3.20,210.00,260.00,2084.64,218.21,55.79,60.00,60.00, 0.00, 0.00, 6.21, 4.90, 0.00, 0.00, 2777.46, 2777.46,0
44,3,2999.06,300.00,0.50,1,122.00,45.00, 4.00,0.00,263.56,2537.85,237.96,62.21,0.00,60.00, 4.29, 51.97, 0.00, 0.00, 0.00, 0.00, 2777.46, 3000.00,0
