5.R String Id,5.2 String Id
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_REASON_METERED_PROCESS_ERROR
textProdVerifReasonAasVolError,DCL_TEXT_REASON_METERED_VOLUME_ERROR
textAlarmBodyNoGraphicCrvHigh,DCL_TEXT_CRV_TOO_HIGH_ERROR
textStatAlarmCrvHigh,DCL_TEXT_CRV_TOO_HIGH_ERROR_STAT
textAlarmBodyNoGraphicInletVolAas,DCL_TEXT_MSS_INLET_VOLM_ALARM
textStatAlarmInletVolmAas,DCL_TEXT_MSS_INLET_VOLM_ALARM_STAT
textDataLabelRs2PasVol,DCL_TEXT_RS2LAB_SS_PLAT_VOL
TEXT_MSS_PLT_PROGRESS_LABEL,DCL_TEXT_RS2LAB_SS_PLAT_VOL
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RESERVOIR_RETURN_ALERT_02
textStatAlarmResReturnAlert02,DCL_TEXT_RESERVOIR_RETURN_ALERT_STAT_02
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_CENTRIFUGE_PRESSURE_TOO_HIGH_04
textStatAlarmCpsHigh04,DCL_TEXT_CENTRIFUGE_PRESSURE_TOO_HIGH_STAT_04
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RESERVOIR_DRAW_ALERT_04
textStatAlarmResDrawAlert04,DCL_TEXT_RESERVOIR_DRAW_ALERT_STAT_04
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RETURN_CYCLE_TOO_SHORT_01
textStatAlarmReturnCycleShort01,DCL_TEXT_RETURN_CYCLE_TOO_SHORT_STAT_01
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_03
textAlarmBodyWithGraphicPasLineOpen,DCL_TEXT_CLAMP_PLT_AAS_LINE
textStatAlarmDrawCycleShort03,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_STAT_03
textStatAlarmPasClosureFailure,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_STAT_03
textEmptyFormatCfgMachSetIdInit,DCL_TEXT_BLANK
textEmptyFormatCfgMachAdminCodeInit,DCL_TEXT_BLANK
textEmptyFormatCfgMachBarcodeInit,DCL_TEXT_BLANK
textStatSetIdInstructions,DCL_TEXT_SET_ID_INSTRUCTIONS
textStatSetIdBadCode,DCL_TEXT_SET_ID_BAD_CODE
textStatCfgMachBadBarcode,DCL_TEXT_CFG_MACH_BAD_BARCODE
textStatSetIdGoodCode,DCL_TEXT_SET_ID_GOOD_CODE
textButtonSelectRef,DCL_TEXT_SET_ID_BUTTON
